,target_id,comparator_id,outcome_id,analysis_id,rr,ci_95_lb,ci_95_ub,p,i_2,log_rr,se_log_rr,target_subjects,comparator_subjects,target_days,comparator_days,target_outcomes,comparator_outcomes,calibrated_p,calibrated_rr,calibrated_ci_95_lb,calibrated_ci_95_ub,calibrated_log_rr,calibrated_se_log_rr,database_id,source
12,3913,3912,254443,1,4.0,0.158,101.069,0.4,,1.386,1.648,1285,4419,387628,1344659,-5,-5,0.428,,,,,,cdmpv532_220131,Resultscdmpv532_220131
13,3913,3912,378427,1,1.114,0.922,1.339,0.257,,0.108,0.095,1285,4419,352120,1242722,177,496,0.633,,,,,,cdmpv532_220131,Resultscdmpv532_220131
14,3913,3912,380038,1,1.149,0.168,5.003,0.873,,0.139,0.866,1285,4419,387423,1343770,-5,6,0.935,,,,,,cdmpv532_220131,Resultscdmpv532_220131
15,3913,3912,380706,1,1.171,0.896,1.515,0.24,,0.158,0.134,1285,4419,370520,1293788,83,237,0.596,,,,,,cdmpv532_220131,Resultscdmpv532_220131
16,3913,3912,434327,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
17,3913,3912,437264,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
18,3913,3912,438688,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
19,3913,3912,439790,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
20,3913,3912,440193,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
21,3913,3912,443172,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
22,3913,3912,4030042,1,0.281,,2.175,,,-1.269,,1285,4419,387913,1343583,0,5,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
23,3913,3912,4087647,1,0.891,0.567,1.353,0.603,,-0.115,0.222,1285,4419,381123,1319252,27,105,0.411,,,,,,cdmpv532_220131,Resultscdmpv532_220131
24,3913,3912,4115367,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
25,3913,3912,4169984,1,0.589,0.17,1.567,0.35,,-0.53,0.567,1285,4419,386989,1340296,5,24,0.289,,,,,,cdmpv532_220131,Resultscdmpv532_220131
26,3913,3912,4213540,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
27,3913,3912,4234533,1,0.273,,0.92,,,-1.3,,1285,4419,387913,1342617,0,12,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
28,3913,3912,4248870,1,0.301,0.017,1.51,0.297,,-1.202,1.151,1285,4419,387592,1341198,-5,13,0.268,,,,,,cdmpv532_220131,Resultscdmpv532_220131
29,3913,3912,4291005,1,0.608,0.262,1.242,0.21,,-0.498,0.397,1285,4419,386180,1335154,8,41,0.156,,,,,,cdmpv532_220131,Resultscdmpv532_220131
30,3913,3912,36713918,1,,,,,,,,1285,4419,387913,1344992,0,0,,,,,,,cdmpv532_220131,Resultscdmpv532_220131
